=> Scattering transform order 2, J 4
=> creating model 'scatteringlinear' oversampling 0 fft False
=> learning rate 0.01, lr thetas 0.0, 50 epochs, decay frequency 15
Epoch: [0][0/5005]	Time 6.3 (6.3)	Data 3.6 (3.6)	preproc. 1.9(1.9)	Tot. Loss 6.98 (6.98)	Acc@1 0.0 (0.0)	Acc@5 0.4 (0.4)	
Epoch: [0][200/5005]	Time 1.4 (1.4)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 7.57 (7.41)	Acc@1 1.6 (2.2)	Acc@5 4.7 (6.1)	
Epoch: [0][400/5005]	Time 1.4 (1.4)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 7.08 (7.25)	Acc@1 2.7 (3.1)	Acc@5 10.5 (8.3)	
Epoch: [0][600/5005]	Time 1.4 (1.4)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 6.51 (7.09)	Acc@1 7.0 (3.8)	Acc@5 16.8 (9.8)	
Epoch: [0][800/5005]	Time 1.4 (1.4)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 6.27 (6.95)	Acc@1 4.7 (4.3)	Acc@5 18.0 (11.1)	
Epoch: [0][1000/5005]	Time 1.4 (1.4)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 6.28 (6.83)	Acc@1 4.3 (4.8)	Acc@5 15.2 (12.1)	
Epoch: [0][1200/5005]	Time 1.4 (1.4)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.99 (6.71)	Acc@1 6.2 (5.3)	Acc@5 18.0 (13.0)	
Epoch: [0][1400/5005]	Time 1.4 (1.4)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.44 (6.61)	Acc@1 10.2 (5.7)	Acc@5 22.3 (13.7)	
Epoch: [0][1600/5005]	Time 1.4 (1.4)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.87 (6.52)	Acc@1 8.6 (6.0)	Acc@5 21.9 (14.5)	
Epoch: [0][1800/5005]	Time 1.4 (1.4)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.99 (6.44)	Acc@1 7.8 (6.4)	Acc@5 19.5 (15.1)	
Epoch: [0][2000/5005]	Time 1.4 (1.4)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.59 (6.36)	Acc@1 7.8 (6.7)	Acc@5 21.1 (15.7)	
Epoch: [0][2200/5005]	Time 1.4 (1.4)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.75 (6.29)	Acc@1 10.2 (7.0)	Acc@5 21.5 (16.3)	
Epoch: [0][2400/5005]	Time 1.4 (1.4)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.39 (6.23)	Acc@1 10.9 (7.2)	Acc@5 23.8 (16.8)	
