=> Scattering transform order 2, J 4
=> creating model 'scatteringlinear' oversampling 0
=> learning rate 0.01, lr thetas 0.0, 100 epochs, decay frequency 30
Epoch: [0][0/5005]	Time 8.8 (8.8)	Data 3.4 (3.4)	preproc. 2.0(2.0)	Tot. Loss 7.01 (7.01)	Acc@1 0.0 (0.0)	Acc@5 0.0 (0.0)	
Epoch: [0][200/5005]	Time 1.6 (1.7)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 13.10 (25.94)	Acc@1 1.2 (1.0)	Acc@5 3.5 (3.1)	
Epoch: [0][400/5005]	Time 1.6 (1.7)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 7.16 (17.46)	Acc@1 3.5 (1.7)	Acc@5 9.0 (4.9)	
Epoch: [0][600/5005]	Time 1.7 (1.7)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 6.33 (13.84)	Acc@1 3.5 (2.3)	Acc@5 9.8 (6.5)	
Epoch: [0][800/5005]	Time 1.6 (1.6)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 6.23 (11.93)	Acc@1 3.5 (2.9)	Acc@5 9.4 (7.8)	
Epoch: [0][1000/5005]	Time 1.6 (1.6)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 6.00 (10.75)	Acc@1 5.1 (3.4)	Acc@5 10.2 (8.9)	
Epoch: [0][1200/5005]	Time 1.6 (1.6)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.86 (9.94)	Acc@1 6.6 (3.7)	Acc@5 16.8 (9.9)	
Epoch: [0][1400/5005]	Time 1.7 (1.6)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.95 (9.36)	Acc@1 5.5 (4.1)	Acc@5 16.0 (10.6)	
Epoch: [0][1600/5005]	Time 1.6 (1.6)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.80 (8.92)	Acc@1 6.2 (4.4)	Acc@5 18.0 (11.2)	
Epoch: [0][1800/5005]	Time 1.6 (1.6)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.76 (8.57)	Acc@1 7.4 (4.6)	Acc@5 16.8 (11.8)	
Epoch: [0][2000/5005]	Time 1.6 (1.6)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.79 (8.29)	Acc@1 8.2 (4.9)	Acc@5 16.8 (12.3)	
